feature,importance
numeric__historical_defect_count,0.1612712774949183
numeric__branch_instruction_count,0.12298258731452034
numeric__change_count_last_12_months,0.11458346174168307
numeric__macro_call_count,0.11080992284864488
numeric__unsupported_instruction_count,0.0836029611329621
numeric__comment_ratio,0.06551454124658576
numeric__database_access_count,0.06326487144417017
numeric__called_module_count,0.05529408614824144
numeric__file_io_count,0.04008715530650012
numeric__packed_decimal_instruction_count,0.03667033207557063
numeric__calling_module_count,0.035559624066576846
numeric__lines_of_code,0.02125170289754791
categorical__application_name_Compliance,0.004092427468584912
categorical__module_role_Validation,0.003928667200756838
categorical__module_role_DatabaseAccess,0.0033339339305245752
categorical__module_role_Utility,0.0032023359104595304
categorical__business_process_FD Renewal,0.0026084782712401354
categorical__application_name_Current Accounts,0.0025920999990680428
categorical__application_name_Savings Accounts,0.002502420518130855
categorical__module_role_Interface,0.0024564097318987535
categorical__business_process_Withdrawal Processing,0.0023560784790358728
categorical__module_role_Driver,0.0022756831391558437
categorical__application_name_Reporting,0.0021982750476614568
categorical__business_process_Collections,0.0021690168512124466
categorical__business_process_Interest Posting,0.002103009049344565
categorical__business_process_Deposit Posting,0.002098277157062867
categorical__module_role_Compliance,0.002032558040837891
categorical__module_role_ReportWriter,0.0020040351397399643
categorical__application_name_Shared Utilities,0.0019322695383197203
categorical__application_name_Credit Cards,0.0018860553454228435
categorical__business_process_Fee Calculation,0.0018147021912025528
categorical__module_role_Audit,0.0017391082954515593
categorical__business_process_Audit Logging,0.0016970569006713257
categorical__module_role_Calculation,0.0016872470771944243
categorical__application_name_Fixed Deposits,0.001683620889244682
categorical__business_process_Balance Maintenance,0.001604942730236283
categorical__business_process_Sanction Screening,0.001581620222767519
categorical__business_process_Settlement,0.0015771335909878091
categorical__business_process_Overdraft Control,0.0015507246591304933
categorical__business_process_Management MIS,0.0014592627774967786
categorical__business_process_Charge Calculation,0.001439702337666108
categorical__application_name_Loans,0.0013934779149438411
categorical__business_process_Error Handling,0.0013628448513894537
categorical__business_process_Limit Management,0.0013138882677744311
categorical__application_name_Customer Management,0.0012941127057433828
categorical__business_process_Regulatory Reporting,0.001252613924674424
categorical__business_process_Date Utility,0.0012510338072478375
categorical__business_process_Loan Origination,0.0012147937791021888
categorical__business_process_Daily Reporting,0.0011578643265588572
categorical__business_process_AML Monitoring,0.0010545377563608356
categorical__business_process_Customer Onboarding,0.0010351784464916324
categorical__module_role_BatchProcessor,0.0010278210903145826
categorical__business_process_FD Closure,0.0010143446943269225
categorical__business_process_Packed Decimal Utility,0.0008916785855291127
categorical__business_process_FD Creation,0.0008842367544541972
categorical__application_name_Payments,0.0008835603239342761
categorical__business_process_Account Opening,0.0008425361370283553
categorical__business_process_Loan Closure,0.0008013153324011633
categorical__business_process_Format Utility,0.0007857782073982618
categorical__business_process_Year End Reporting,0.0007056431680434425
categorical__business_process_KYC Verification,0.0006984263846802766
categorical__business_process_Fraud Detection,0.0006743013311988642
categorical__business_process_Profile Maintenance,0.0006353660105396267
categorical__business_process_Authorization,0.0005623017550823952
categorical__business_process_Internal Transfer,0.0005402783420718162
categorical__business_process_Interest Calculation,0.00047936541158133096
categorical__business_process_Bill Payment,0.0004486332778936857
categorical__business_process_EMI Processing,0.000433452064493987
categorical__business_process_Standing Instruction,0.0003608147713152927
categorical__business_process_External Transfer,0.0002643581053123592
categorical__business_process_Month End Reporting,0.00023576626368480375
