application_name,business_process,module_name,module_role,lines_of_code,branch_instruction_count,called_module_count,calling_module_count,file_io_count,database_access_count,macro_call_count,packed_decimal_instruction_count,historical_defect_count,change_count_last_12_months,comment_ratio,unsupported_instruction_count,risk_level
Savings Accounts,Withdrawal Processing,BALI92,Interface,262,47,6,10,1,4,10,45,5,10,0.57,1,Low
Loans,Interest Calculation,CALCI66,Interface,4420,9,4,6,0,1,4,37,1,6,0.43,2,Medium
Reporting,Month End Reporting,GLMR06,ReportWriter,8605,189,21,20,11,5,34,18,18,19,0.09,8,High
Customer Management,Profile Maintenance,CUSTI95,Interface,4877,104,11,14,1,9,4,37,3,21,0.16,0,Medium
Customer Management,Customer Onboarding,ONBRU89,Utility,3908,171,6,21,18,6,9,72,27,38,0.08,12,High
Current Accounts,Balance Maintenance,BALC87,Calculation,5064,59,2,11,8,7,8,55,18,9,0.39,4,Medium
Current Accounts,Overdraft Control,AUTHP15,BatchProcessor,3051,46,1,18,10,6,21,38,6,25,0.3,1,Medium
Compliance,Audit Logging,HISTA18,Audit,2381,79,10,29,6,2,29,26,24,35,0.11,10,High
Savings Accounts,Withdrawal Processing,LIMM13,Compliance,6452,27,5,12,5,5,15,53,9,19,0.15,2,High
Current Accounts,Charge Calculation,CALCA50,Audit,1090,102,7,6,8,8,10,37,12,18,0.1,3,Medium
Loans,EMI Processing,BALR35,ReportWriter,8850,99,8,6,14,6,20,90,14,10,0.07,4,High
Savings Accounts,Deposit Posting,POSTU59,Utility,1112,63,2,30,11,6,10,46,21,10,0.0,5,High
Compliance,Sanction Screening,RULEM82,Compliance,2864,201,15,4,3,16,7,6,8,10,0.19,9,High
Credit Cards,Limit Management,CARDC69,Calculation,5586,119,13,6,9,10,21,51,17,19,0.09,2,Medium
Compliance,AML Monitoring,RULEA90,Audit,3537,39,1,14,12,10,16,42,5,20,0.42,6,Low
Loans,Loan Origination,DOCC85,Calculation,8103,13,4,6,3,1,6,61,1,6,0.37,1,Low
Loans,Loan Origination,LOANC29,Calculation,2946,68,7,10,4,6,6,44,14,13,0.4,0,Medium
Payments,Standing Instruction,STNDP06,BatchProcessor,1834,9,5,8,0,4,12,13,1,2,0.21,3,Low
Current Accounts,Overdraft Control,LIMP00,BatchProcessor,3821,99,12,10,6,8,7,60,9,8,0.1,6,Medium
Current Accounts,Balance Maintenance,BALR47,ReportWriter,6512,86,7,11,11,7,13,12,18,22,0.14,0,Medium
Payments,Standing Instruction,SCHDV97,Validation,6874,120,4,15,6,3,6,14,9,14,0.35,2,Medium
Savings Accounts,Deposit Posting,POSTU01,Utility,1214,16,0,10,4,0,8,36,0,2,0.42,0,Low
Reporting,Year End Reporting,GLMC37,Calculation,8001,92,17,21,10,10,13,66,14,24,0.15,5,High
Loans,Interest Calculation,POSTC52,Calculation,3373,47,4,8,5,4,6,51,6,1,0.38,1,Low
Loans,Loan Closure,PAYU38,Utility,1608,81,1,22,7,2,17,79,10,10,0.05,2,High
Fixed Deposits,FD Creation,CUSTA11,Audit,8332,101,5,22,9,3,16,8,28,9,0.16,7,High
Payments,Internal Transfer,XFERA16,Audit,4005,220,24,5,5,12,30,49,23,25,0.13,9,High
Payments,Internal Transfer,AUTHD67,Driver,2605,59,12,3,6,2,3,25,5,11,0.19,3,Low
Savings Accounts,Deposit Posting,ACCTP31,BatchProcessor,4276,51,3,4,6,1,11,16,6,9,0.31,0,Low
Loans,Interest Calculation,POSTV58,Validation,732,88,10,13,6,8,10,64,16,22,0.4,1,Medium
Customer Management,Profile Maintenance,UPDTD62,Driver,769,112,22,30,3,12,31,65,18,26,0.01,4,High
